--- Starting Training ---
Episode  228 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04967 | Epsilon: 0.101
Episode  229 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06062 | Epsilon: 0.100
Episode  230 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05555 | Epsilon: 0.099
Episode  231 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04562 | Epsilon: 0.098
Episode  232 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05393 | Epsilon: 0.097
Episode  233 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06394 | Epsilon: 0.096
Episode  234 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06326 | Epsilon: 0.095
Episode  235 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05572 | Epsilon: 0.094
Episode  236 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05577 | Epsilon: 0.094
Episode  237 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04992 | Epsilon: 0.093
Episode  238 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05310 | Epsilon: 0.092
Episode  239 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05314 | Epsilon: 0.091
Episode  240 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04224 | Epsilon: 0.090
Episode 240: Target network updated.
Episode  241 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05364 | Epsilon: 0.089
Episode  242 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05465 | Epsilon: 0.088
Episode  243 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05187 | Epsilon: 0.087
Episode  244 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05198 | Epsilon: 0.086
Episode  245 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05730 | Epsilon: 0.085
Episode  246 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05463 | Epsilon: 0.085
Episode  247 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05098 | Epsilon: 0.084
Episode  248 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05013 | Epsilon: 0.083
Episode  249 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06206 | Epsilon: 0.082
Episode  250 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06017 | Epsilon: 0.081
Episode  251 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06655 | Epsilon: 0.080
Episode  252 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06841 | Epsilon: 0.080
Episode  253 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04465 | Epsilon: 0.079
Episode  254 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05740 | Epsilon: 0.078
Episode  255 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06469 | Epsilon: 0.077
Episode  256 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05744 | Epsilon: 0.077
Episode  257 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04554 | Epsilon: 0.076
Episode  258 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05375 | Epsilon: 0.075
Episode  259 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07378 | Epsilon: 0.074
Episode  260 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05649 | Epsilon: 0.074
Episode 260: Target network updated.
Episode  261 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06076 | Epsilon: 0.073
Episode  262 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06386 | Epsilon: 0.072
Episode  263 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.07264 | Epsilon: 0.071
Episode  264 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05586 | Epsilon: 0.071
Episode  265 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05699 | Epsilon: 0.070
Episode  266 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06001 | Epsilon: 0.069
Episode  267 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06092 | Epsilon: 0.069
Episode  268 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06502 | Epsilon: 0.068
