--- Starting Training ---
Episode  231 | Reward:   143.0 | Duration:  143 | Avg Loss: 0.20160 | Epsilon: 0.010
Episode  232 | Reward:   127.0 | Duration:  127 | Avg Loss: 0.18300 | Epsilon: 0.010
Episode  233 | Reward:   165.0 | Duration:  165 | Avg Loss: 0.18891 | Epsilon: 0.010
Episode  234 | Reward:   115.0 | Duration:  115 | Avg Loss: 0.16971 | Epsilon: 0.010
Episode  235 | Reward:   151.0 | Duration:  151 | Avg Loss: 0.19682 | Epsilon: 0.010
Episode  236 | Reward:   133.0 | Duration:  133 | Avg Loss: 0.18871 | Epsilon: 0.010
Episode  237 | Reward:   127.0 | Duration:  127 | Avg Loss: 0.16307 | Epsilon: 0.010
Episode  238 | Reward:   113.0 | Duration:  113 | Avg Loss: 0.16669 | Epsilon: 0.010
Episode  239 | Reward:   141.0 | Duration:  141 | Avg Loss: 0.16854 | Epsilon: 0.010
Episode  240 | Reward:   129.0 | Duration:  129 | Avg Loss: 0.14604 | Epsilon: 0.010
Episode 240: Target network updated.
Episode  241 | Reward:   142.0 | Duration:  142 | Avg Loss: 0.20202 | Epsilon: 0.010
Episode  242 | Reward:   132.0 | Duration:  132 | Avg Loss: 0.14058 | Epsilon: 0.010
Episode  243 | Reward:   154.0 | Duration:  154 | Avg Loss: 0.14684 | Epsilon: 0.010
Episode  244 | Reward:   143.0 | Duration:  143 | Avg Loss: 0.14721 | Epsilon: 0.010
Episode  245 | Reward:   151.0 | Duration:  151 | Avg Loss: 0.16488 | Epsilon: 0.010
Episode  246 | Reward:   133.0 | Duration:  133 | Avg Loss: 0.16668 | Epsilon: 0.010
Episode  247 | Reward:   141.0 | Duration:  141 | Avg Loss: 0.14597 | Epsilon: 0.010
Episode  248 | Reward:   129.0 | Duration:  129 | Avg Loss: 0.17702 | Epsilon: 0.010
Episode  249 | Reward:   138.0 | Duration:  138 | Avg Loss: 0.15009 | Epsilon: 0.010
Episode  250 | Reward:   144.0 | Duration:  144 | Avg Loss: 0.19601 | Epsilon: 0.010
Episode 250: Target network updated.
Episode  251 | Reward:   118.0 | Duration:  118 | Avg Loss: 0.18099 | Epsilon: 0.010
Episode  252 | Reward:   162.0 | Duration:  162 | Avg Loss: 0.17170 | Epsilon: 0.010
Episode  253 | Reward:   134.0 | Duration:  134 | Avg Loss: 0.18817 | Epsilon: 0.010
Episode  254 | Reward:   157.0 | Duration:  157 | Avg Loss: 0.16701 | Epsilon: 0.010
Episode  255 | Reward:   152.0 | Duration:  152 | Avg Loss: 0.17872 | Epsilon: 0.010
Episode  256 | Reward:   144.0 | Duration:  144 | Avg Loss: 0.16124 | Epsilon: 0.010
Episode  257 | Reward:   132.0 | Duration:  132 | Avg Loss: 0.15510 | Epsilon: 0.010
Episode  258 | Reward:   144.0 | Duration:  144 | Avg Loss: 0.16806 | Epsilon: 0.010
Episode  259 | Reward:   126.0 | Duration:  126 | Avg Loss: 0.16348 | Epsilon: 0.010
Episode  260 | Reward:   159.0 | Duration:  159 | Avg Loss: 0.18627 | Epsilon: 0.010
Episode 260: Target network updated.
Episode  261 | Reward:   158.0 | Duration:  158 | Avg Loss: 0.18156 | Epsilon: 0.010
Episode  262 | Reward:   155.0 | Duration:  155 | Avg Loss: 0.19868 | Epsilon: 0.010
Episode  263 | Reward:   126.0 | Duration:  126 | Avg Loss: 0.17784 | Epsilon: 0.010
Episode  264 | Reward:   119.0 | Duration:  119 | Avg Loss: 0.14450 | Epsilon: 0.010
Episode  265 | Reward:   157.0 | Duration:  157 | Avg Loss: 0.17801 | Epsilon: 0.010
Episode  266 | Reward:   117.0 | Duration:  117 | Avg Loss: 0.17208 | Epsilon: 0.010
Episode  267 | Reward:   120.0 | Duration:  120 | Avg Loss: 0.17786 | Epsilon: 0.010
Episode  268 | Reward:   157.0 | Duration:  157 | Avg Loss: 0.16913 | Epsilon: 0.010
